Date,Month,Mood,Timeframe,Event
2023-01-01,January,Lausig,Uni,
2023-01-02,January,Gut,Uni,
2023-01-03,January,Gut,Uni,
2023-01-04,January,Gut,Uni,
2023-01-05,January,Gut,Uni,Travel
2023-01-06,January,Super,Uni,Travel
2023-01-07,January,Gut,Uni,Travel
2023-01-08,January,Gut,Uni,Live
2023-01-09,January,Gut,Uni,
2023-01-10,January,Gut,Uni,
2023-01-11,January,Gut,Uni,
2023-01-12,January,Gut,Uni,
2023-01-13,January,Gut,Uni,
2023-01-14,January,Gut,Uni,
2023-01-15,January,Gut,Uni,
2023-01-16,January,Gut,Uni,
2023-01-17,January,Gut,Uni,
2023-01-18,January,Ok,Uni,
2023-01-19,January,Gut,Uni,
2023-01-20,January,Super,Uni,
2023-01-21,January,Gut,Uni,
2023-01-22,January,Gut,Uni,
2023-01-23,January,Gut,Uni,
2023-01-24,January,Gut,Uni,
2023-01-25,January,Gut,Uni,
2023-01-26,January,Schlecht,Uni,
2023-01-27,January,Ok,Uni,
2023-01-28,January,Gut,Exam,
2023-01-29,January,Gut,Exam,
2023-01-30,January,Gut,Exam,
2023-01-31,January,Gut,Exam,
2023-02-01,February,Gut,Exam,
2023-02-02,February,Gut,Exam,
2023-02-03,February,Gut,Exam,
2023-02-04,February,Gut,Exam,
2023-02-05,February,Gut,Exam,
2023-02-06,February,Gut,Exam,
2023-02-07,February,Ok,Exam,
2023-02-08,February,Ok,Exam,
2023-02-09,February,Gut,Exam,
2023-02-10,February,Ok,Exam,
2023-02-11,February,Ok,Exam,
2023-02-12,February,Ok,Exam,
2023-02-13,February,Ok,Exam,
2023-02-14,February,Ok,Exam,
2023-02-15,February,Ok,Exam,
2023-02-16,February,Gut,Exam,
2023-02-17,February,Gut,Exam,
2023-02-18,February,Ok,Exam,
2023-02-19,February,Gut,Exam,
2023-02-20,February,Gut,Exam,
2023-02-21,February,Gut,Exam,
2023-02-22,February,Super,Exam,
2023-02-23,February,Gut,Free,
2023-02-24,February,Ok,Free,
2023-02-25,February,Schlecht,Free,
2023-02-26,February,Schlecht,Free,
2023-02-27,February,Ok,Free,
2023-02-28,February,Ok,Free,
2023-03-01,March,Gut,Free,
2023-03-02,March,Gut,Free,
2023-03-03,March,Ok,Free,
2023-03-04,March,Super,Free,
2023-03-05,March,Ok,Free,
2023-03-06,March,Ok,Free,
2023-03-07,March,Gut,Free,
2023-03-08,March,Schlecht,Free,
2023-03-09,March,Schlecht,Free,
2023-03-10,March,Schlecht,Free,
2023-03-11,March,Schlecht,Free,
2023-03-12,March,Ok,Free,
2023-03-13,March,Ok,Free,
2023-03-14,March,Ok,Uni,
2023-03-15,March,Ok,Uni,
2023-03-16,March,Schlecht,Uni,
2023-03-17,March,Schlecht,Uni,
2023-03-18,March,Ok,Uni,
2023-03-19,March,Gut,Uni,
2023-03-20,March,Gut,Uni,
2023-03-21,March,Gut,Uni,
2023-03-22,March,Gut,Uni,
2023-03-23,March,Gut,Uni,
2023-03-24,March,Ok,Uni,
2023-03-25,March,Gut,Uni,
2023-03-26,March,Ok,Uni,
